2023-10-20 14-11-13
C70_TAG_Control

SamplerId;
SamplingConditions;
Канал;МСД-1 : TIC
Частота, Гц;1.94170983321649
0;0
0.0085835001613284;0
0.0171670003226568;13939.8864116669
0.0257505004839852;26899.0951404572
0.0343340006453136;31408.9176063538
0.042917500806642;36690.8504228592
0.0515010009679704;35171.2033748627
0.0600845011292988;36153.5128498077
0.0686680012906272;33548.6222877502
0.0772515014519556;34064.5043897629
0.085835001613284;35829.5135784149
0.0944185017746124;30029.1235704422
0.103002001935941;23928.5512685776
0.111585502097269;26994.5240631104
0.120169002258598;31292.9579391479
0.128752502419926;30882.6554861069
0.137336002581254;31092.6434020996
0.145919502742583;34892.9846658707
0.154503002903911;29305.4654607773
0.16308650306524;32688.6792602539
0.171670003226568;40648.4996852875
0.180253503387896;47642.6799888611
0.188837003549225;47210.6613149643
0.197420503710553;46402.1662788391
0.206004003871882;40688.7015991211
0.21458750403321;37601.4104299545
0.223171004194538;41849.0911016464
0.231754504355867;35684.7862138748
0.240338004517195;34494.3445692062
0.248921504678524;34772.0557937622
0.257505004839852;33786.6959991455
0.26608850500118;36417.0129890442
0.274672005162509;30641.4281806946
0.283255505323837;34999.7042980194
0.291839005485166;32163.3696842194
0.300422505646494;37919.9415531158
0.309006005807822;41660.6640968323
0.317589505969151;37817.3979167938
0.326173006130479;40592.353143692
0.334756506291808;36524.2378997803
0.343340006453136;40555.5249090195
0.351923506614464;43475.9254102707
0.360507006775793;61275.0542173386
0.369090506937121;79740.2452831268
0.37767400709845;86323.9746236801
0.386257507259778;87839.4703006744
0.394841007421106;74459.6255979538
0.403424507582435;60892.0683221817
0.412008007743763;48063.1600923538
0.420591507905092;38262.9429893494
0.42917500806642;41023.2329750061
0.437758508227748;40022.9052963257
0.446342008389077;48175.8565673828
0.454925508550405;47635.5606842041
0.463509008711734;43867.7502250671
0.472092508873062;41947.1102743149
0.48067600903439;51053.8062257767
0.489259509195719;51209.6308307648
0.497843009357047;49865.2647719383
0.506426509518376;60558.2428512573
0.515010009679704;43899.8618345261
0.523593509841032;39283.205121994
0.532177010002361;44057.8343515396
0.540760510163689;36266.474316597
0.549344010325018;38275.9828872681
0.557927510486346;35773.922328949
0.566511010647674;28365.0901603699
0.575094510809003;27072.6948471069
0.583678010970331;30901.9282455444
0.59226151113166;44706.1037998199
0.600845011292988;86235.8153276443
0.609428511454316;116249.989938736
0.618012011615645;139538.729933739
0.626595511776973;127366.832550526
0.635179011938302;99046.1965389252
0.64376251209963;84412.8617267609
0.652346012260958;80148.1988067627
0.660929512422287;73470.5906276703
0.669513012583615;61023.104183197
0.678096512744944;59257.3277645111
0.686680012906272;48333.8355817795
0.6952635130676;43240.5992774963
0.703847013228929;38516.5533132553
0.712430513390257;34103.1467008591
0.721014013551586;37344.5902109146
0.729597513712914;36499.6326246262
0.738181013874242;47112.8783740997
0.746764514035571;60193.6435899735
0.755348014196899;66884.3184347153
0.763931514358228;87844.6220750809
0.772515014519556;98110.1342697144
0.781098514680884;87618.0800056458
0.789682014842213;80512.5147399902
0.798265515003541;58511.5499324799
0.80684901516487;51683.3634262085
0.815432515326198;44534.2069940567
0.824016015487526;38163.3123531342
0.832599515648855;40957.0486850739
0.841183015810183;37908.6818065643
0.849766515971512;42940.7252826691
0.85835001613284;36843.0643367767
0.866933516294168;34491.1247806549
0.875517016455497;36309.3854646683
0.884100516616825;42102.8794174194
0.892684016778154;57607.4642744064
0.901267516939482;73201.6067838669
0.90985101710081;76622.4457244873
0.918434517262139;99713.2918796539
0.927018017423467;88030.7255659103
0.935601517584796;72298.8745985031
0.944185017746124;62081.9649953842
0.952768517907452;49090.6030483246
0.961352018068781;36465.0974349976
0.969935518230109;31420.4134130478
0.978519018391438;39723.782538414
0.987102518552766;48002.1565742493
0.995686018714094;55470.9679937363
1.00426951887542;60958.2994937897
1.01285301903675;62479.3890228271
1.02143651919808;75333.9198579788
1.03002001935941;83250.234621048
1.03860351952074;87199.2018623352
1.04718701968206;70627.112660408
1.05577051984339;58775.2852725983
1.06435402000472;47916.4818668365
1.07293752016605;37947.6368846893
1.08152102032738;41017.833533287
1.09010452048871;46110.2901573181
1.09868802065004;45689.0628957748
1.10727152081136;49282.501282692
1.11585502097269;61157.7804584503
1.12443852113402;60512.6333847046
1.13302202129535;55613.1830301285
1.14160552145668;63898.3472499847
1.15018902161801;67164.1831474304
1.15877252177933;70712.0807628632
1.16735602194066;73242.5445709229
1.17593952210199;79406.6816473007
1.18452302226332;93602.6479988098
1.19310652242465;121171.939836502
1.20169002258598;126193.875963211
1.2102735227473;115679.958918571
1.21885702290863;93391.5757360458
1.22744052306996;69343.0526504517
1.23602402323129;44796.4234962463
1.24460752339262;33873.0759086609
1.25319102355395;30336.2025728226
1.26177452371527;31274.9403915405
1.2703580238766;42235.5072193146
1.27894152403793;45910.5093278885
1.28752502419926;57732.7540979385
1.29610852436059;73019.2698173523
1.30469202452192;98682.3276729584
1.31327552468325;115294.493623734
1.32185902484457;113202.078525543
1.3304425250059;98637.136841774
1.33902602516723;71525.7319631577
1.34760952532856;66626.8376331329
1.35619302548989;46627.4984912872
1.36477652565122;34434.2558307648
1.37336002581254;31371.6943206787
1.38194352597387;31827.3047332764
1.3905270261352;30048.8824882507
1.39911052629653;28751.8826599121
1.40769402645786;28561.0235509872
1.41627752661919;29184.449388504
1.42486102678051;37947.4327859879
1.43344452694184;37985.7800731659
1.44202802710317;48258.9043312073
1.4506115272645;54770.4835042953
1.45919502742583;53714.2371511459
1.46777852758716;60093.9021482468
1.47636202774848;57600.2778987885
1.48494552790981;47078.761423111
1.49352902807114;49259.0239295959
1.50211252823247;66531.8425006866
1.5106960283938;74907.1036872864
1.51927952855513;95273.3577651978
1.52786302871646;98349.0772686005
1.53644652887778;89723.5475282669
1.54503002903911;71996.2311563492
1.55361352920044;57280.4906148911
1.56219702936177;44480.5536680222
1.5707805295231;40740.5012207031
1.57936402968443;34810.7363500595
1.58794752984575;36518.2636127472
1.59653103000708;38661.6786632538
1.60511453016841;33723.122469902
1.61369803032974;29113.7207460403
1.62228153049107;28126.2332038879
1.6308650306524;26852.8633785248
1.63944853081372;28708.6880874634
1.64803203097505;23853.3727064133
1.65661553113638;25339.8715991974
1.66519903129771;21919.6977758408
1.67378253145904;23342.6257791519
1.68236603162037;30751.3881597519
1.69094953178169;43209.9992628098
1.69953303194302;56529.8335008621
1.70811653210435;85775.1003046036
1.71670003226568;81653.3376350403
1.72528353242701;81069.7460050583
1.73386703258834;67809.790555954
1.74245053274967;63980.3161869049
1.75103403291099;42779.2542495728
1.75961753307232;32064.7638339996
1.76820103323365;32628.2275419235
1.77678453339498;26639.4085817337
1.78536803355631;23030.7178535461
1.79395153371764;25388.7289066315
1.80253503387896;26650.3051691055
1.81111853404029;26681.711707592
1.81970203420162;30461.2935686111
1.82828553436295;30198.1978368759
1.83686903452428;30914.7470092773
1.84545253468561;23360.4070272446
1.85403603484693;33055.5951480865
1.86261953500826;27952.1698913574
1.87120303516959;30062.5101442337
1.87978653533092;26568.6633605957
1.88837003549225;26285.8644638062
1.89695353565358;26022.4133834839
1.9055370358149;27631.0915145874
1.91412053597623;29669.1672105789
1.92270403613756;28104.101981163
1.93128753629889;26002.3069419861
1.93987103646022;28529.2538433075
1.94845453662155;26384.8544750214
1.95703803678288;24349.3018722534
1.9656215369442;25513.1755466461
1.97420503710553;30509.2918319702
1.98278853726686;30401.6775054932
1.99137203742819;27745.4810829163
1.99995553758952;21862.005484581
2.00853903775085;20441.3675060272
2.01712253791217;20550.2185583115
2.0257060380735;26152.6818122864
2.03428953823483;22286.1894845963
2.04287303839616;23419.6273775101
2.05145653855749;21625.0946922302
2.06004003871882;27101.4671554565
2.06862353888014;18818.6460800171
2.07720703904147;22799.7876348495
2.0857905392028;24404.5701150894
2.09437403936413;20100.0872612
2.10295753952546;21643.3626995087
2.11154103968679;19702.0987014771
2.12012453984811;20492.8916282654
2.12870804000944;22204.5663833618
2.13729154017077;25196.6937150955
2.1458750403321;20842.705657959
2.15445854049343;25417.5981693268
2.16304204065476;23195.4453296661
2.17162554081609;26400.7220954895
2.18020904097741;24124.6734495163
2.18879254113874;24934.0309448242
2.19737604130007;23481.5867795944
2.2059595414614;23951.5186691284
2.21454304162273;22604.9188604355
2.22312654178406;20905.2663822174
2.23171004194538;18332.3526124954
2.24029354210671;21346.8715634346
2.24887704226804;23788.0760259628
2.25746054242937;20256.3021392822
2.2660440425907;22630.2103462219
2.27462754275203;22578.8193798065
2.28321104291335;28118.095202446
2.29179454307468;23467.3458995819
2.30037804323601;24106.8073787689
2.30896154339734;24165.9888887405
2.31754504355867;21662.0381660461
2.32612854372;22506.4591903687
2.33471204388132;22723.089017868
2.34329554404265;20466.7122373581
2.35187904420398;21899.4503488541
2.36046254436531;20281.4745044708
2.36904604452664;21055.284239769
2.37762954468797;28517.945274353
2.3862130448493;25782.2005357742
2.39479654501062;29274.7962989807
2.40338004517195;32444.2111263275
2.41196354533328;30620.354221344
2.42054704549461;31579.4579877853
2.42913054565594;27903.9817943573
2.43771404581727;23783.7907428741
2.44629754597859;24153.6385202408
2.45488104613992;28022.843006134
2.46346454630125;20657.8163719177
2.47204804646258;20585.9450721741
2.48063154662391;23517.796869278
2.48921504678524;27381.1565446854
2.49779854694656;21658.8445701599
2.50638204710789;26227.0618247986
2.51496554726922;28159.1856575012
2.52354904743055;29551.5871315002
2.53213254759188;25166.3328266144
2.54071604775321;27812.0479831696
2.54929954791454;24111.8154201508
2.55788304807586;27718.2378282547
2.56646654823719;26214.8937311172
2.57505004839852;26677.870223999
2.58363354855985;22849.3684024811
2.59221704872118;28105.2265262604
2.60080054888251;30384.7265453339
2.60938404904383;32042.8071956635
2.61796754920516;32619.4868412018
2.62655104936649;44254.4356861115
2.63513454952782;54005.0050182343
2.64371804968915;48839.1134128571
2.65230154985048;35012.1429786682
2.6608850500118;33794.7424573898
2.66946855017313;28790.8146924973
2.67805205033446;29903.2002954483
2.68663555049579;32374.7400779724
2.69521905065712;30130.8702201843
2.70380255081845;30989.8445453644
2.71238605097977;34363.5615091324
2.7209695511411;29956.8700237274
2.72955305130243;30811.7915716171
2.73813655146376;29019.2619781494
2.74672005162509;26378.0790901184
2.75530355178642;26704.9822912216
2.76388705194774;25201.7764182091
2.77247055210907;24529.9762201309
2.7810540522704;24615.0383739471
2.78963755243173;26863.8015890121
2.79822105259306;25635.4045877457
2.80680455275439;22795.6284389496
2.81538805291572;27971.6417455673
2.82397155307704;24653.5531349182
2.83255505323837;26704.4012784958
2.8411385533997;25732.8506383896
2.84972205356103;27131.8467617035
2.85830555372236;28004.4022665024
2.86688905388369;26387.7533893585
2.87547255404501;30867.0469865799
2.88405605420634;32292.0249099731
2.89263955436767;32550.3123979568
2.901223054529;24220.703546524
2.90980655469033;28899.7201147079
2.91839005485166;26282.4432115555
2.92697355501298;30656.5640907288
2.93555705517431;30997.9123067856
2.94414055533564;36488.8687515259
2.95272405549697;28287.6270942688
2.9613075556583;27664.9433860779
2.96989105581963;26360.2702007294
2.97847455598095;30446.6975488663
2.98705805614228;30528.6162786484
2.99564155630361;26502.1602544785
3.00422505646494;28968.5748691559
3.01280855662627;24377.5617084503
3.0213920567876;28219.9906425476
3.02997555694893;27842.4313688278
3.03855905711025;27624.6568574905
3.04714255727158;37162.9742908478
3.05572605743291;33058.6540985107
3.06430955759424;34997.4794640541
3.07289305775557;41463.6754541397
3.0814765579169;34616.5250358582
3.09006005807822;38091.6402139664
3.09864355823955;36716.4549026489
3.10722705840088;37782.1192798615
3.11581055856221;41284.9403495789
3.12439405872354;34984.8977241516
3.13297755888487;37405.3441514969
3.14156105904619;33167.2849960327
3.15014455920752;28092.9857940674
3.15872805936885;38600.2024517059
3.16731155953018;34127.3426361084
3.17589505969151;31971.4058132172
3.18447855985284;35980.5809221268
3.19306206001417;36290.1513805389
3.20164556017549;37920.2335777283
3.21022906033682;38501.8959293365
3.21881256049815;45747.5217475891
3.22739606065948;48501.9587898254
3.23597956082081;57272.0264530182
3.24456306098214;55386.3794612885
3.25314656114346;41447.0842475891
3.26173006130479;32600.463757515
3.27031356146612;31301.8952913284
3.27889706162745;28280.2635402679
3.28748056178878;30394.7284469604
3.29606406195011;33863.4264116287
3.30464756211143;33620.862203598
3.31323106227276;31226.3288860321
3.32181456243409;30268.5434656143
3.33039806259542;24862.1129484177
3.33898156275675;24506.6478433609
3.34756506291808;23813.0832977295
3.3561485630794;27492.0999660492
3.36473206324073;27347.1983289719
3.37331556340206;36954.6367063522
3.38189906356339;35610.9016447067
3.39048256372472;32911.977394104
3.39906606388605;37935.9338331223
3.40764956404737;28737.8249959946
3.4162330642087;31607.5842895508
3.42481656437003;30838.0594673157
3.43340006453136;29798.725317955
3.44198356469269;28498.4902124405
3.45056706485402;29711.3518714905
3.45915056501535;23415.0288972855
3.46773406517667;21507.4116640091
3.476317565338;23097.2773647308
3.48490106549933;24280.1942281723
3.49348456566066;24982.9971580505
3.50206806582199;24403.7988014221
3.51065156598332;23282.5067806244
3.51923506614464;25375.0905170441
3.52781856630597;28246.0724639893
3.5364020664673;24947.0118427277
3.54498556662863;39295.574092865
3.55356906678996;83509.582365036
3.56215256695129;172247.363323212
3.57073606711261;295082.306676865
3.57931956727394;394583.592043877
3.58790306743527;354457.848719597
3.5964865675966;281687.355129242
3.60507006775793;171197.555019379
3.61365356791926;92517.0501785278
3.62223706808058;55589.894077301
3.63082056824191;41990.7087879181
3.63940406840324;31626.4361867905
3.64798756856457;29395.3037452698
3.6565710687259;26786.2678346634
3.66515456888723;31625.7051315308
3.67373806904856;29682.1395339966
3.68232156920988;31563.0137004852
3.69090506937121;28657.5448379517
3.69948856953254;25605.5987758636
3.70807206969387;26080.9114360809
3.7166555698552;24218.7193470001
3.72523907001653;25635.3801183701
3.73382257017785;22059.0964069366
3.74240607033918;27245.2130203247
3.75098957050051;26542.7610750198
3.75957307066184;31867.5888566971
3.76815657082317;30750.7215938568
3.7767400709845;28041.2172307968
3.78532357114582;27270.2080039978
3.79390707130715;31583.380865097
3.80249057146848;32400.3880653381
3.81107407162981;36781.4556493759
3.81965757179114;44370.6000771523
3.82824107195247;56710.2750005722
3.8368245721138;68880.8741693497
3.84540807227512;66046.3652639389
3.85399157243645;56945.8837633133
3.86257507259778;50180.443236351
3.87115857275911;31357.9501934052
3.87974207292044;29537.1171426773
3.88832557308177;28474.6434383392
3.89690907324309;32712.8884563446
3.90549257340442;27509.9437599182
3.91407607356575;29476.1191205978
3.92265957372708;31602.547545433
3.93124307388841;36790.8745517731
3.93982657404974;37126.6350736618
3.94841007421106;36129.5254707336
3.95699357437239;33866.8520669937
3.96557707453372;29945.4112071991
3.97416057469505;32305.7585468292
3.98274407485638;35753.0824766159
3.99132757501771;40617.2872867584
3.99991107517903;39777.7890853882
4.00849457534036;36321.9273662567
4.01707807550169;37964.9217023849
4.02566157566302;30907.6974582672
4.03424507582435;29864.3952608109
4.04282857598568;32159.3008270264
4.05141207614701;28772.9597549438
4.05999557630833;26524.015630722
4.06857907646966;25196.0101318359
4.07716257663099;25480.5175552368
4.08574607679232;21063.3307342529
4.09432957695365;22138.0190525055
4.10291307711497;26024.8701453209
4.1114965772763;23721.3886671066
4.12008007743763;28843.301440239
4.12866357759896;28040.0267877579
4.13724707776029;34034.3030891418
4.14583057792162;34191.9565191269
4.15441407808295;42632.7587013245
4.16299757824427;46013.6693019867
4.1715810784056;47278.7055988312
4.18016457856693;49558.8048324585
